Фамилия;Имя;Отчество;Название организации;Рабочий телефон;Личный телефон
Алексеев;Петр;Андреевич;ИП Петров;9321218;877744448899
Бендер;Остап;Ибрагимович;"ОАО ""РОГА и КОПЫТА""";9441144;877733339922
Булгаков;Михаил;Афанасьевич;"ЗАО ""Издательское дело""";9321515;877766664433
Волкова;Екатерина;Павловна;"АО ""Почта России""";8321219;799922221144
Гончаров;Сергей;Игоревич;"ООО ""Ромашка""";4313;899955557788
Иванов;Иван;Иванович;"ООО ""Ромашка""";4312;899944442211
Иванова;Елена;Федоровна;ИП Иванова;9924489;877744449911
Кузнецов;Игорь;Евгеньевич;"ООО ""Ромашка""";4315;899900001122
Обломов;Илья;Ильич;-;9543312;855533334422
Петров;Дмитрий;Олегович;ИП Петров;9321218;899955553322
Петров;Олег;Викторович;ИП Петров;9321218;899944446677
Печкин;Игорь;Иванович;"АО ""Почта России""";8321218;877733335566
Пушкин;Александр;Сергеевич;"ЗАО ""Издательское дело""";9321515;877799998899
Яковлев;Евгений;Викторович;"ОАО ""РОГА и КОПЫТА""";9441144;877733339933
Толстой;Лев;Николаевич;"ЗАО ""Издательское дело""";9321515;877799998877
Чехов;Антон;Павлович;"ЗАО ""Издательское дело""";9321515;855511112233
Александров;Ефим;Романович;ИП Иванова;9924489;811133332211
Романов;Петр;Аркадьевич;ИП Иванова;9924489;877722224411
Климова;Яна;Алексеевна;ЖКХ;9998877;877700001122
Гаврилова;Ирина;Викторовна;ЖКХ;9998877;800099992211
Крылов;Егор;Семенович;ИП Крылов;9328415;822244441122
